"","results"
1,9
2,7
3,2
4,3
5,8
6,5
7,7
8,4
9,7
10,4
11,2
12,5
13,8
14,7
15,5
16,5
17,5
18,0
19,2
20,7
21,6
22,0
23,5
24,0
25,2
26,2
27,5
28,1
29,5
30,2
31,5
32,3
33,2
34,4
35,3
36,7
37,0
38,3
39,8
40,7
41,2
42,2
43,3
44,5
45,7
46,8
47,4
48,4
49,3
50,0
51,3
52,6
53,6
54,4
55,2
56,9
57,0
58,7
59,0
60,5
61,0
62,5
63,3
64,7
65,3
66,7
67,0
68,5
69,9
70,0
71,7
72,2
73,4
74,2
75,9
76,4
77,2
78,2
79,7
80,9
81,2
82,2
83,0
84,9
85,3
86,9
87,5
88,6
89,3
90,2
91,4
92,5
93,2
94,7
95,4
96,3
97,2
98,3
99,5
100,0
101,9
102,0
103,4
104,1
105,3
106,2
107,9
108,2
109,7
110,2
111,5
112,7
113,2
114,0
115,0
116,5
117,5
118,0
119,7
120,2
121,4
122,2
123,3
124,4
125,9
126,2
127,6
128,6
129,8
130,6
131,5
132,2
133,8
134,7
135,7
136,7
137,9
138,0
139,4
140,3
141,5
142,9
143,3
144,2
145,5
146,2
147,8
148,8
149,7
150,4
151,3
152,4
153,2
154,8
155,2
156,8
157,2
158,2
159,6
160,5
161,2
162,7
163,3
164,4
165,0
166,7
167,0
168,5
169,2
170,5
171,9
172,5
173,2
174,3
175,0
176,9
177,3
178,3
179,0
180,7
181,8
182,2
183,4
184,3
185,3
186,6
187,5
188,0
189,5
190,1
191,3
192,4
193,3
194,5
195,3
196,7
197,2
198,2
199,9
200,2
201,0
202,2
203,9
204,2
205,3
206,7
207,2
208,8
209,3
210,3
211,9
212,2
213,2
214,3
215,6
216,7
217,0
218,2
219,4
220,3
221,3
222,8
223,0
224,9
225,7
226,2
227,0
228,3
229,8
230,9
231,7
232,3
233,2
234,4
235,3
236,4
237,5
238,6
239,6
240,2
241,3
242,8
243,4
244,4
245,3
246,4
247,3
248,5
249,6
250,8
251,8
252,5
253,0
254,2
255,9
256,3
257,8
258,0
259,2
260,7
261,5
262,6
263,3
264,8
265,2
266,9
267,3
268,6
269,5
270,0
271,8
272,9
273,8
274,2
275,5
276,5
277,7
278,2
279,3
280,3
281,9
282,5
283,8
284,5
285,4
286,2
287,5
288,2
289,3
290,2
291,7
292,2
293,2
294,3
295,2
296,3
297,6
298,9
299,4
300,4
301,3
302,3
303,6
304,4
305,0
306,6
307,1
308,4
309,2
310,7
311,2
312,3
313,2
314,9
315,5
316,6
317,5
318,3
319,0
320,6
321,2
322,4
323,0
324,2
325,2
326,3
327,2
328,0
329,8
330,6
331,8
332,2
333,0
334,9
335,2
336,3
337,7
338,8
339,3
340,2
341,3
342,5
343,0
344,9
345,8
346,9
347,7
348,5
349,7
350,4
351,8
352,6
353,2
354,4
355,2
356,6
357,6
358,3
359,3
360,0
361,2
362,8
363,9
364,9
365,3
366,3
367,4
368,0
369,0
370,5
371,5
372,2
373,5
374,2
375,6
376,5
377,5
378,2
379,4
380,0
381,5
382,5
383,2
384,5
385,4
386,8
387,0
388,0
389,4
390,3
391,0
392,2
393,5
394,2
395,3
396,0
397,7
398,0
399,3
400,5
401,0
402,2
403,2
404,0
405,0
406,0
407,5
408,7
409,9
410,4
411,7
412,8
413,3
414,4
415,4
416,2
417,0
418,0
419,4
420,2
421,5
422,8
423,3
424,7
425,9
426,0
427,2
428,2
429,6
430,6
431,3
432,2
433,7
434,3
435,3
436,0
437,2
438,5
439,2
440,5
441,6
442,5
443,0
444,2
445,2
446,3
447,5
448,5
449,4
450,2
451,6
452,3
453,3
454,3
455,2
456,5
457,5
458,2
459,6
460,7
461,8
462,2
463,2
464,7
465,3
466,0
467,2
468,2
469,8
470,0
471,0
472,3
473,9
474,2
475,8
476,7
477,0
478,8
479,0
480,2
481,6
482,6
483,7
484,4
485,3
486,3
487,6
488,2
489,6
490,5
491,5
492,3
493,4
494,3
495,5
496,2
497,9
498,2
499,0
500,7
501,3
502,8
503,3
504,5
505,4
506,4
507,0
508,4
509,3
510,3
511,2
512,7
513,4
514,8
515,2
516,6
517,4
518,2
519,3
520,5
521,3
522,1
523,9
524,5
525,3
526,0
527,7
528,0
529,0
530,5
531,9
532,3
533,4
534,2
535,2
536,5
537,7
538,2
539,3
540,6
541,7
542,7
543,7
544,7
545,5
546,7
547,1
548,2
549,4
550,0
551,5
552,4
553,1
554,5
555,7
556,5
557,8
558,7
559,3
560,5
561,9
562,4
563,4
564,0
565,3
566,2
567,5
568,0
569,4
570,5
571,5
572,6
573,6
574,8
575,1
576,8
577,0
578,5
579,3
580,8
581,4
582,5
583,5
584,8
585,3
586,0
587,8
588,7
589,8
590,4
591,6
592,2
593,8
594,4
595,4
596,7
597,3
598,3
599,5
600,2
601,7
602,0
603,2
604,0
605,7
606,2
607,8
608,3
609,5
610,0
611,2
612,3
613,2
614,9
615,9
616,8
617,1
618,9
619,7
620,5
621,6
622,7
623,2
624,3
625,7
626,2
627,6
628,4
629,3
630,5
631,8
632,0
633,3
634,3
635,0
636,1
637,5
638,6
639,7
640,7
641,7
642,8
643,1
644,3
645,1
646,5
647,3
648,3
649,0
650,8
651,5
652,6
653,2
654,7
655,2
656,2
657,3
658,2
659,4
660,8
661,5
662,4
663,3
664,7
665,5
666,9
667,5
668,2
669,4
670,3
671,2
672,2
673,3
674,2
675,4
676,5
677,5
678,8
679,2
680,7
681,3
682,2
683,8
684,0
685,8
686,2
687,3
688,3
689,6
690,2
691,4
692,3
693,5
694,0
695,2
696,8
697,9
698,2
699,2
700,2
701,3
702,1
703,5
704,9
705,3
706,4
707,3
708,8
709,8
710,3
711,7
712,5
713,0
714,2
715,6
716,3
717,9
718,4
719,6
720,2
721,2
722,4
723,9
724,9
725,0
726,3
727,8
728,2
729,5
730,3
731,5
732,0
733,4
734,7
735,2
736,3
737,0
738,7
739,0
740,6
741,8
742,3
743,2
744,2
745,4
746,2
747,8
748,2
749,8
750,3
751,3
752,2
753,8
754,3
755,0
756,0
757,2
758,0
759,5
760,9
761,8
762,7
763,3
764,7
765,5
766,9
767,3
768,4
769,7
770,6
771,5
772,2
773,1
774,7
775,2
776,4
777,3
778,5
779,2
780,0
781,0
782,3
783,3
784,5
785,2
786,2
787,4
788,2
789,5
790,7
791,7
792,3
793,5
794,7
795,8
796,2
797,7
798,3
799,2
800,2
801,0
802,0
803,4
804,2
805,0
806,2
807,2
808,3
809,2
810,0
811,2
812,2
813,6
814,6
815,3
816,3
817,9
818,6
819,2
820,3
821,4
822,9
823,3
824,7
825,0
826,2
827,7
828,8
829,8
830,7
831,6
832,9
833,2
834,0
835,4
836,2
837,3
838,0
839,8
840,2
841,5
842,1
843,1
844,6
845,5
846,8
847,5
848,3
849,4
850,2
851,2
852,2
853,3
854,5
855,4
856,7
857,0
858,4
859,3
860,2
861,7
862,3
863,0
864,3
865,2
866,5
867,8
868,3
869,8
870,6
871,5
872,3
873,8
874,9
875,7
876,5
877,0
878,0
879,1
880,0
881,5
882,5
883,8
884,0
885,9
886,6
887,0
888,6
889,5
890,3
891,0
892,2
893,5
894,7
895,3
896,9
897,2
898,2
899,5
900,0
901,2
902,5
903,6
904,2
905,3
906,0
907,3
908,4
909,9
910,5
911,5
912,2
913,8
914,3
915,7
916,7
917,3
918,2
919,0
920,9
921,2
922,4
923,8
924,0
925,3
926,5
927,3
928,3
929,3
930,2
931,2
932,5
933,0
934,3
935,5
936,5
937,3
938,5
939,8
940,4
941,3
942,9
943,3
944,0
945,1
946,2
947,8
948,5
949,2
950,4
951,9
952,8
953,5
954,8
955,2
956,5
957,7
958,4
959,2
960,5
961,3
962,2
963,3
964,4
965,5
966,2
967,0
968,6
969,3
970,8
971,6
972,8
973,5
974,8
975,0
976,0
977,7
978,5
979,2
980,3
981,6
982,4
983,2
984,2
985,2
986,2
987,7
988,2
989,6
990,8
991,0
992,3
993,5
994,3
995,6
996,4
997,2
998,8
999,7
1000,3
1001,3
1002,2
1003,7
1004,2
1005,0
1006,2
1007,3
1008,1
1009,8
1010,2
1011,5
1012,7
1013,7
1014,0
1015,2
1016,2
1017,5
1018,2
1019,2
1020,8
1021,5
1022,2
1023,2
1024,3
1025,9
